condition,cut,rule,early_k,late_h,max_few_modes,max_singleton_mass,order_fraction_required,process_tier,n_images
manual,0.05,D10_distribution,7,12,2,0.1,0.9,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,12,2,0.1,0.9,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,12,2,0.1,0.9,insufficient_observed_people,51
manual,0.05,D10_distribution,7,12,2,0.1,0.9,intermediate_or_order_sensitive,7
manual,0.05,D10_distribution,7,12,2,0.1,0.9,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,12,2,0.1,0.9,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,12,2,0.1,0.9,singleton_support_insufficient,8
manual,0.05,D10_distribution,7,12,2,0.1,0.9,stable_many_supported_modes,2
manual,0.05,D10_distribution,7,12,3,0,0.8,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,12,3,0,0.8,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,12,3,0,0.8,insufficient_observed_people,51
manual,0.05,D10_distribution,7,12,3,0,0.8,intermediate_or_order_sensitive,2
manual,0.05,D10_distribution,7,12,3,0,0.8,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,12,3,0,0.8,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,12,3,0,0.8,singleton_support_insufficient,15
manual,0.05,D10_distribution,7,12,3,0,0.9,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,12,3,0,0.9,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,12,3,0,0.9,insufficient_observed_people,51
manual,0.05,D10_distribution,7,12,3,0,0.9,intermediate_or_order_sensitive,2
manual,0.05,D10_distribution,7,12,3,0,0.9,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,12,3,0,0.9,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,12,3,0,0.9,singleton_support_insufficient,15
manual,0.05,D10_distribution,7,12,3,0.1,0.8,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,12,3,0.1,0.8,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,12,3,0.1,0.8,insufficient_observed_people,51
manual,0.05,D10_distribution,7,12,3,0.1,0.8,intermediate_or_order_sensitive,7
manual,0.05,D10_distribution,7,12,3,0.1,0.8,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,12,3,0.1,0.8,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,12,3,0.1,0.8,singleton_support_insufficient,8
manual,0.05,D10_distribution,7,12,3,0.1,0.8,stable_many_supported_modes,2
manual,0.05,D10_distribution,7,12,3,0.1,0.9,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,12,3,0.1,0.9,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,12,3,0.1,0.9,insufficient_observed_people,51
manual,0.05,D10_distribution,7,12,3,0.1,0.9,intermediate_or_order_sensitive,9
manual,0.05,D10_distribution,7,12,3,0.1,0.9,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,12,3,0.1,0.9,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,12,3,0.1,0.9,singleton_support_insufficient,8
manual,0.05,D10_distribution,7,12,4,0,0.8,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,12,4,0,0.8,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,12,4,0,0.8,insufficient_observed_people,51
manual,0.05,D10_distribution,7,12,4,0,0.8,intermediate_or_order_sensitive,2
manual,0.05,D10_distribution,7,12,4,0,0.8,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,12,4,0,0.8,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,12,4,0,0.8,singleton_support_insufficient,15
manual,0.05,D10_distribution,7,12,4,0,0.9,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,12,4,0,0.9,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,12,4,0,0.9,insufficient_observed_people,51
manual,0.05,D10_distribution,7,12,4,0,0.9,intermediate_or_order_sensitive,2
manual,0.05,D10_distribution,7,12,4,0,0.9,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,12,4,0,0.9,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,12,4,0,0.9,singleton_support_insufficient,15
manual,0.05,D10_distribution,7,12,4,0.1,0.8,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,12,4,0.1,0.8,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,12,4,0.1,0.8,insufficient_observed_people,51
manual,0.05,D10_distribution,7,12,4,0.1,0.8,intermediate_or_order_sensitive,9
manual,0.05,D10_distribution,7,12,4,0.1,0.8,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,12,4,0.1,0.8,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,12,4,0.1,0.8,singleton_support_insufficient,8
manual,0.05,D10_distribution,7,12,4,0.1,0.9,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,12,4,0.1,0.9,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,12,4,0.1,0.9,insufficient_observed_people,51
manual,0.05,D10_distribution,7,12,4,0.1,0.9,intermediate_or_order_sensitive,9
manual,0.05,D10_distribution,7,12,4,0.1,0.9,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,12,4,0.1,0.9,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,12,4,0.1,0.9,singleton_support_insufficient,8
manual,0.05,D10_distribution,7,15,2,0,0.8,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,15,2,0,0.8,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,15,2,0,0.8,insufficient_observed_people,51
manual,0.05,D10_distribution,7,15,2,0,0.8,intermediate_or_order_sensitive,2
manual,0.05,D10_distribution,7,15,2,0,0.8,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,15,2,0,0.8,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,15,2,0,0.8,singleton_support_insufficient,15
manual,0.05,D10_distribution,7,15,2,0,0.9,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,15,2,0,0.9,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,15,2,0,0.9,insufficient_observed_people,51
manual,0.05,D10_distribution,7,15,2,0,0.9,intermediate_or_order_sensitive,2
manual,0.05,D10_distribution,7,15,2,0,0.9,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,15,2,0,0.9,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,15,2,0,0.9,singleton_support_insufficient,15
manual,0.05,D10_distribution,7,15,2,0.1,0.8,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,15,2,0.1,0.8,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,15,2,0.1,0.8,insufficient_observed_people,51
manual,0.05,D10_distribution,7,15,2,0.1,0.8,intermediate_or_order_sensitive,4
manual,0.05,D10_distribution,7,15,2,0.1,0.8,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,15,2,0.1,0.8,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,15,2,0.1,0.8,singleton_support_insufficient,8
manual,0.05,D10_distribution,7,15,2,0.1,0.8,stable_many_supported_modes,5
manual,0.05,D10_distribution,7,15,2,0.1,0.9,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,15,2,0.1,0.9,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,15,2,0.1,0.9,insufficient_observed_people,51
manual,0.05,D10_distribution,7,15,2,0.1,0.9,intermediate_or_order_sensitive,7
manual,0.05,D10_distribution,7,15,2,0.1,0.9,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,15,2,0.1,0.9,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,15,2,0.1,0.9,singleton_support_insufficient,8
manual,0.05,D10_distribution,7,15,2,0.1,0.9,stable_many_supported_modes,2
manual,0.05,D10_distribution,7,15,3,0,0.8,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,15,3,0,0.8,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,15,3,0,0.8,insufficient_observed_people,51
manual,0.05,D10_distribution,7,15,3,0,0.8,intermediate_or_order_sensitive,2
manual,0.05,D10_distribution,7,15,3,0,0.8,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,15,3,0,0.8,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,15,3,0,0.8,singleton_support_insufficient,15
manual,0.05,D10_distribution,7,15,3,0,0.9,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,15,3,0,0.9,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,15,3,0,0.9,insufficient_observed_people,51
manual,0.05,D10_distribution,7,15,3,0,0.9,intermediate_or_order_sensitive,2
manual,0.05,D10_distribution,7,15,3,0,0.9,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,15,3,0,0.9,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,15,3,0,0.9,singleton_support_insufficient,15
manual,0.05,D10_distribution,7,15,3,0.1,0.8,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,15,3,0.1,0.8,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,15,3,0.1,0.8,insufficient_observed_people,51
manual,0.05,D10_distribution,7,15,3,0.1,0.8,intermediate_or_order_sensitive,7
manual,0.05,D10_distribution,7,15,3,0.1,0.8,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,15,3,0.1,0.8,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,15,3,0.1,0.8,singleton_support_insufficient,8
manual,0.05,D10_distribution,7,15,3,0.1,0.8,stable_many_supported_modes,2
manual,0.05,D10_distribution,7,15,3,0.1,0.9,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,15,3,0.1,0.9,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,15,3,0.1,0.9,insufficient_observed_people,51
manual,0.05,D10_distribution,7,15,3,0.1,0.9,intermediate_or_order_sensitive,9
manual,0.05,D10_distribution,7,15,3,0.1,0.9,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,15,3,0.1,0.9,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,15,3,0.1,0.9,singleton_support_insufficient,8
manual,0.05,D10_distribution,7,15,4,0,0.8,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,15,4,0,0.8,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,15,4,0,0.8,insufficient_observed_people,51
manual,0.05,D10_distribution,7,15,4,0,0.8,intermediate_or_order_sensitive,2
manual,0.05,D10_distribution,7,15,4,0,0.8,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,15,4,0,0.8,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,15,4,0,0.8,singleton_support_insufficient,15
manual,0.05,D10_distribution,7,15,4,0,0.9,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,15,4,0,0.9,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,15,4,0,0.9,insufficient_observed_people,51
manual,0.05,D10_distribution,7,15,4,0,0.9,intermediate_or_order_sensitive,2
manual,0.05,D10_distribution,7,15,4,0,0.9,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,15,4,0,0.9,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,15,4,0,0.9,singleton_support_insufficient,15
manual,0.05,D10_distribution,7,15,4,0.1,0.8,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,15,4,0.1,0.8,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,15,4,0.1,0.8,insufficient_observed_people,51
manual,0.05,D10_distribution,7,15,4,0.1,0.8,intermediate_or_order_sensitive,9
manual,0.05,D10_distribution,7,15,4,0.1,0.8,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,15,4,0.1,0.8,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,15,4,0.1,0.8,singleton_support_insufficient,8
manual,0.05,D10_distribution,7,15,4,0.1,0.9,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,15,4,0.1,0.9,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,15,4,0.1,0.9,insufficient_observed_people,51
manual,0.05,D10_distribution,7,15,4,0.1,0.9,intermediate_or_order_sensitive,9
manual,0.05,D10_distribution,7,15,4,0.1,0.9,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,15,4,0.1,0.9,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,15,4,0.1,0.9,singleton_support_insufficient,8
manual,0.05,D10_distribution,7,18,2,0,0.8,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,18,2,0,0.8,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,18,2,0,0.8,insufficient_observed_people,51
manual,0.05,D10_distribution,7,18,2,0,0.8,intermediate_or_order_sensitive,2
manual,0.05,D10_distribution,7,18,2,0,0.8,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,18,2,0,0.8,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,18,2,0,0.8,singleton_support_insufficient,15
manual,0.05,D10_distribution,7,18,2,0,0.9,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,18,2,0,0.9,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,18,2,0,0.9,insufficient_observed_people,51
manual,0.05,D10_distribution,7,18,2,0,0.9,intermediate_or_order_sensitive,2
manual,0.05,D10_distribution,7,18,2,0,0.9,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,18,2,0,0.9,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,18,2,0,0.9,singleton_support_insufficient,15
manual,0.05,D10_distribution,7,18,2,0.1,0.8,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,18,2,0.1,0.8,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,18,2,0.1,0.8,insufficient_observed_people,51
manual,0.05,D10_distribution,7,18,2,0.1,0.8,intermediate_or_order_sensitive,4
manual,0.05,D10_distribution,7,18,2,0.1,0.8,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,18,2,0.1,0.8,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,18,2,0.1,0.8,singleton_support_insufficient,8
manual,0.05,D10_distribution,7,18,2,0.1,0.8,stable_many_supported_modes,5
manual,0.05,D10_distribution,7,18,2,0.1,0.9,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,18,2,0.1,0.9,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,18,2,0.1,0.9,insufficient_observed_people,51
manual,0.05,D10_distribution,7,18,2,0.1,0.9,intermediate_or_order_sensitive,7
manual,0.05,D10_distribution,7,18,2,0.1,0.9,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,18,2,0.1,0.9,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,18,2,0.1,0.9,singleton_support_insufficient,8
manual,0.05,D10_distribution,7,18,2,0.1,0.9,stable_many_supported_modes,2
manual,0.05,D10_distribution,7,18,3,0,0.8,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,18,3,0,0.8,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,18,3,0,0.8,insufficient_observed_people,51
manual,0.05,D10_distribution,7,18,3,0,0.8,intermediate_or_order_sensitive,2
manual,0.05,D10_distribution,7,18,3,0,0.8,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,18,3,0,0.8,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,18,3,0,0.8,singleton_support_insufficient,15
manual,0.05,D10_distribution,7,18,3,0,0.9,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,18,3,0,0.9,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,18,3,0,0.9,insufficient_observed_people,51
manual,0.05,D10_distribution,7,18,3,0,0.9,intermediate_or_order_sensitive,2
manual,0.05,D10_distribution,7,18,3,0,0.9,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,18,3,0,0.9,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,18,3,0,0.9,singleton_support_insufficient,15
manual,0.05,D10_distribution,7,18,3,0.1,0.8,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,18,3,0.1,0.8,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,18,3,0.1,0.8,insufficient_observed_people,51
manual,0.05,D10_distribution,7,18,3,0.1,0.8,intermediate_or_order_sensitive,7
manual,0.05,D10_distribution,7,18,3,0.1,0.8,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,18,3,0.1,0.8,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,18,3,0.1,0.8,singleton_support_insufficient,8
manual,0.05,D10_distribution,7,18,3,0.1,0.8,stable_many_supported_modes,2
manual,0.05,D10_distribution,7,18,3,0.1,0.9,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,18,3,0.1,0.9,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,18,3,0.1,0.9,insufficient_observed_people,51
manual,0.05,D10_distribution,7,18,3,0.1,0.9,intermediate_or_order_sensitive,9
manual,0.05,D10_distribution,7,18,3,0.1,0.9,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,18,3,0.1,0.9,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,18,3,0.1,0.9,singleton_support_insufficient,8
manual,0.05,D10_distribution,7,18,4,0,0.8,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,18,4,0,0.8,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,18,4,0,0.8,insufficient_observed_people,51
manual,0.05,D10_distribution,7,18,4,0,0.8,intermediate_or_order_sensitive,2
manual,0.05,D10_distribution,7,18,4,0,0.8,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,18,4,0,0.8,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,18,4,0,0.8,singleton_support_insufficient,15
manual,0.05,D10_distribution,7,18,4,0,0.9,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,18,4,0,0.9,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,18,4,0,0.9,insufficient_observed_people,51
manual,0.05,D10_distribution,7,18,4,0,0.9,intermediate_or_order_sensitive,2
manual,0.05,D10_distribution,7,18,4,0,0.9,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,18,4,0,0.9,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,18,4,0,0.9,singleton_support_insufficient,15
manual,0.05,D10_distribution,7,18,4,0.1,0.8,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,18,4,0.1,0.8,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,18,4,0.1,0.8,insufficient_observed_people,51
manual,0.05,D10_distribution,7,18,4,0.1,0.8,intermediate_or_order_sensitive,9
manual,0.05,D10_distribution,7,18,4,0.1,0.8,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,18,4,0.1,0.8,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,18,4,0.1,0.8,singleton_support_insufficient,8
manual,0.05,D10_distribution,7,18,4,0.1,0.9,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,18,4,0.1,0.9,insufficient_horizon_or_other_trajectory,79
manual,0.05,D10_distribution,7,18,4,0.1,0.9,insufficient_observed_people,51
manual,0.05,D10_distribution,7,18,4,0.1,0.9,intermediate_or_order_sensitive,9
manual,0.05,D10_distribution,7,18,4,0.1,0.9,invalid_records_preclude_process_tier,12
manual,0.05,D10_distribution,7,18,4,0.1,0.9,observed_fragmented_late_changes,22
manual,0.05,D10_distribution,7,18,4,0.1,0.9,singleton_support_insufficient,8
manual,0.05,D10_distribution,7,19,2,0,0.8,early_one_or_two_supported_modes,6
manual,0.05,D10_distribution,7,19,2,0,0.8,insufficient_horizon_or_other_trajectory,79
